content,act,section,type,keywords
"Power of the President to remove difficulties.PART XXIISHORT TITLE, COMMENCEMENT, AUTHORITATIVE TEXTIN HINDI AND REPEALS",Constitution,Article 392,Fundamental Right,
"Restriction on rights conferred by this Part while martial law is in force in any area.—Notwithstanding anything in the foregoing provisions of this Part, Parliament may by law indemnify any person in the service of the Union or of a State or any other person in respect of any act done by him in connection with the maintenance or restoration of order in any area within the territory of India where martial law was in force or validate any sentence passed, punishment inflicted, forfeiture ordered or other act done under martial law in such area.",Constitution,Article 034,Fundamental Right,
"Definition.—In this Part, unless the context otherwise requires, “the State” has the same meaning as in Part III.",Constitution,Article 36,Fundamental Right,
"Application of the principles contained in this Part.—The provisions contained in this Part shall not be enforceable by any court, but the principles therein laid down are nevertheless fundamental in the governance of the country and it shall be the duty of the State to apply these principles in making laws.",Constitution,Article 37,Fundamental Right,
Provision for early childhood care and education to children below the age of six years.—The State shall endeavour to provide early childhood care and education for all children until they complete the age of six years.],Constitution,Article 45,Fundamental Right,
"Promotion of educational and economic interests of Scheduled Castes, Scheduled Tribes and other weaker sections.—The State shall promote with special care the educational and economic interests of the weaker sections of the people, and, in particular, of the Scheduled Castes and the Scheduled Tribes, and shall protect them from social injustice and all forms of exploitation.",Constitution,Article 46,Fundamental Right,
"Duty of the State to raise the level of nutrition and the standard of living and to improve public health.—The State shall regard the raising of the level of nutrition and the standard of living of its people and the improvement of public health as among its primary duties and, in particular, the State shall endeavour to bring about prohibition of the consumption except for medicinal purposes of intoxicating drinks and of drugs which are injurious to health.",Constitution,Article 47,Fundamental Right,
"Duties of Prime Minister as respects the furnishing of information to the President, etc.—It shall be the duty of the Prime Minister—(a) to communicate to the President all decisions of the Council of Ministers relating to the administration of the affairs of the Union and proposals for legislation;(b) to furnish such information relating to the administration of the affairs of the Union and proposals for legislation as the President may call for; and(c) if the President so requires, to submit for the consideration of the Council of Ministers any matter on which a decision has been taken by a Minister but which has not been considered by the Council.CHAPTER II.—PARLIAMENT General",Constitution,Article 678,Fundamental Right,
"Oath or affirmation by members.—Every member of either House of Parliament shall, before taking his seat, make and subscribe before the President, or some person appointed in that behalf by him, an oath or affirmation according to the form set out for the purpose in the Third Schedule.",Constitution,Article 99,Fundamental Right,
"Salaries and allowances of members.—Members of either House of Parliament shall be entitled to receive such salaries and allowances as may from time to time be determined by Parliament by law and, until provision in that respect is so made, allowances at such rates and upon such conditions as were immediately before the commencement of this Constitution applicable in the case of members of the Constituent Assembly of the Dominion of India.Legislative Procedure",Constitution,Article 106,Fundamental Right,
"Appointment of acting Chief Justice.—When the office of Chief Justice of India is vacant or when the Chief Justice is, by reason of absence or otherwise, unable to perform the duties of his office, the duties of the office shall be performed by such one of the other Judges of the Court as the President may appoint for the purpose.",Constitution,Article 126,Fundamental Right,
Supreme Court to be a court of record.—The Supreme Court shall be a court of record and shall have all the powers of such a court including the power to punish for contempt of itself.,Constitution,Article 129,Fundamental Right,
"Seat of Supreme Court.—The Supreme Court shall sit in Delhi or in such other place or places, as the Chief Justice of India may, with the approval of the President, from time to time, appoint.",Constitution,Article 130,Fundamental Right,
"Power of Governor to grant pardons, etc., and to suspend, remit or commute sentences in certain cases.—The Governor of a State shall have the power to grant pardons, reprieves, respites or remissions of punishment or to suspend, remit or commute the sentence of any person convicted of any offence against any law relating to a matter to which the executive power of the State extends.",Constitution,Article 161,Fundamental Right,
"Duties of Chief Minister as respects the furnishing of information to Governor, etc.—It shall be the duty of the Chief Minister of each State—  (a) to communicate to the Governor of the State all decisions of the Council of Ministers relating to the administration of the affairs of the State and proposals for legislation;(b) to furnish such information relating to the administration of the affairs of the State and proposals for legislation as the Governor may call for; and (c) if the Governor so requires, to submit for the consideration of the Council of Ministers any matter on which a decision has been taken by a Minister but which has not been considered by the Council.CHAPTER III.—THE STATE LEGISLATUREGeneral",Constitution,Article 167,Fundamental Right,
"Rights of Ministers and Advocate-General as respects the Houses.—Every Minister and the Advocate-General for a State shall have the right to speak in, and otherwise to take part in the proceedings of, the Legislative Assembly of the State or, in the case of a State having a Legislative Council, both Houses, and to speak in, and otherwise to take part in the proceedings of, any committee of the Legislature of which he may be named a member, but shall not, by virtue of this article, be entitled to vote. Officers of the State Legislature",Constitution,Article 177,Fundamental Right,
"Oath or affirmation by members.—Every member of the Legislative Assembly or the Legislative Council of a State shall, before taking his seat, make and subscribe before the Governor, or some person appointed in that behalf by him, an oath or affirmation according to the form set out for the purpose in the Third Schedule.",Constitution,Article 188,Fundamental Right,
"Salaries and allowances of members.—Members of the Legislative Assembly and the Legislative Council of a State shall be entitled to receive such salaries and allowances as may from time to time be determined, by the Legislature of the State by law and,  until provision in that respect is so made, salaries and allowances at such rates and upon such conditions as were immediately before the commencement of this Constitution applicable in the case of members of the Legislative Assembly of the corresponding Province.Legislative Procedure",Constitution,Article 195,Fundamental Right,
"Control over subordinate courts.—The control over district courts and courts subordinate thereto including the posting and promotion of, and the grant of leave to, persons belonging to the judicial service of a State and holding any post inferior to the post of district judge shall be vested in the High Court, but nothing in this article shall be construed as taking away from any such person any right of appeal which he may have under the law regulating the conditions of his service or as authorising the High Court to deal with him otherwise than in accordance with the conditions of his service prescribed under such law.",Constitution,Article 235,Fundamental Right,
Subs. by s.,Constitution,Article 5,Fundamental Right,
"Interpretation.—In this Part, “Finance Commission” means a Finance Commission constituted under article",Constitution,Article 264,Fundamental Right,
Distribution of Revenues between the Union and the States,Constitution,Article 206,Fundamental Right,
Recommendations of the Finance Commission.—The President shall cause every recommendation made by the Finance Commission under the provisions of this Constitution together with an explanatory memorandum as to the action taken thereon to be laid before each House of Parliament.Miscellaneous Financial Provisions,Constitution,Article 281,Fundamental Right,
"Expenditure defrayable by the Union or a State out of its revenues.—The Union or a State may make any grants for any public purpose, notwithstanding that the purpose is not one with respect to which Parliament or the Legislature of the State, as the case may be, may make laws.",Constitution,Article 282,Fundamental Right,
"Borrowing by the Government of India.—The executive power of the Union extends to borrowing upon the security of the Consolidated Fund of India within such limits, if any, as may from time to time be fixed by Parliament by law and to the giving of guarantees within such limits, if any, as may be so fixed.",Constitution,Article 292,Fundamental Right,
"Freedom of trade, commerce and intercourse.—Subject to the other provisions of this Part,   trade, commerce  and intercourse throughout  the territory of India shall be free.",Constitution,Article 301,Fundamental Right,
"Power of Legislature of a State to make provision with respect to elections to such Legislature.—Subject to the provisions of this Constitution and in so far as provision in that behalf is not made by Parliament, the Legislature of a State may from time to time by law make provision with respect to all matters relating to, or in  connection with, the elections to the House or either House of the Legislature of the State including the preparation of electoral rolls and all other matters necessary for securing the due constitution of such House or Houses.",Constitution,Article 328,Fundamental Right,
SeeC.O.,Constitution,Article 1,Fundamental Right,
Exercise of legislative powers under Proclamation issued under article,Constitution,Article 357,Fundamental Right,
Short title.—This Constitution may be called the Constitution of India.,Constitution,Article 393,Fundamental Right,
"In this Part, unless the context otherwise requires,—(a) the expression “Chief Justice” includes an acting Chief Justice, and a “Judge” includes an ad hoc Judge; (b) “actual service” includes— (i) time spent by a Judge on duty as a Judge or in the performance of such other functions as he may at the request of the President undertake to discharge;(ii) vacations, excluding any time during which the Judge is absent on leave; and(iii) joining time on transfer from a High Court to the Supreme Court or from one High Court to another. PART EPROVISIONS AS TO THE COMPTROLLER AND AUDITOR-GENERAL OF INDIA",Constitution,Article 811,Fundamental Right,
The North Cachar Hills District.,Constitution,Article 1,Fundamental Right,
Jaintia Hills District.],Constitution,Article 2,Fundamental Right,
The Mara District.,Constitution,Article 2,Fundamental Right,
"Diplomatic, consular and trade representation.",Constitution,Article 11,Fundamental Right,
"Admission into, and emigration and expulsion from, India; passports and visas.",Constitution,Article 19,Fundamental Right,
Piracies and crimes committed on the high seas or in the air; offences against the law of nations committed on land or the high seas or in the air.,Constitution,Article 21,Fundamental Right,
"Posts and telegraphs; telephones, wireless, broadcasting and other like forms of communication.",Constitution,Article 231,Fundamental Right,
Lotteries organised by the Government of India or the Government of a State.,Constitution,Article 40,Fundamental Right,
Trade and commerce with foreign countries; import and export across customs frontiers; definition of customs frontiers.,Constitution,Article 41,Fundamental Right,
"Incorporation, regulation and winding up of corporations, whether trading or not, with objects not confined to one State, but not including universities.",Constitution,Article 44,Fundamental Right,
Establishment of standards of quality for goods to be exported out of India or transported from one State to another.,Constitution,Article 51,Fundamental Right,
Regulation and development of oilfields and mineral oil resources; petroleum and petroleum products; other liquids and substances declared by Parliament by law to be dangerously inflammable.,Constitution,Article 53,Fundamental Right,
"Union agencies and institutions for—(a) professional, vocational or technical training, including the training of police officers; or(b) the promotion of special studies or research; or(c) scientific or technical assistance in the investigation or detection of crime.",Constitution,Article 65,Fundamental Right,
Census.,Constitution,Article 69,Fundamental Right,
"Extension of the powers and jurisdiction of members of a police force belonging to any State to any area outside that State, but not so as to enable the police of one State to exercise powers and jurisdiction in any area outside that State without the consent of the Government of the State in which such area is situated; extension of the powers and jurisdiction of members of a police force belonging to any State to railway areas outside that State.",Constitution,Article 80,Fundamental Right,
Duties in respect of succession to property other than agricultural land.,Constitution,Article 88,Fundamental Right,
"Prisons, reformatories, Borstal institutions and other institutions of a like nature, and persons detained therein; arrangements with other States for the use of prisons and other institutions.",Constitution,Article 4,Fundamental Right,
Betting and gambling.,Constitution,Article 34,Fundamental Right,
Elections to the Legislature of the State subject to the provisions of any law made by Parliament.,Constitution,Article 37,Fundamental Right,
Taxes on animals and boats.,Constitution,Article 58,Fundamental Right,
"Marriage and divorce; infants and minors; adoption; wills, intestacy and succession; joint family and partition; all matters in respect of which parties in judicial proceedings were immediately before the commencement of this Constitution subject to their personal law.",Constitution,Article 225,Fundamental Right,
"Contracts, including partnership, agency, contracts of carriage, and other special forms of contracts, but not including contracts relating to agricultural land.",Constitution,Article 7,Fundamental Right,
Actionable wrongs.,Constitution,Article 8,Fundamental Right,
"Prevention of the extension from one State to another of infectious or contagious diseases or pests affecting men, animals or plants.",Constitution,Article 29,Fundamental Right,
Price control.,Constitution,Article 34,Fundamental Right,
Electricity.,Constitution,Article 38,Fundamental Right,
"Newspapers, books and printing presses.",Constitution,Article 39,Fundamental Right,
Bodo.,Constitution,Article 3,Fundamental Right,
Planning for economic and social development.,Constitution,Article 3,Fundamental Right,
